0.2909	0.2736
0.3854	0.3650
0.4308	0.4371
0.4646	0.5007
0.4861	0.5193
0.5031	0.5336
0.5210	0.5629
0.5308	0.5593
0.5414	0.5600
0.5503	0.5807
0.5570	0.5879
0.5695	0.5814
0.5707	0.5936
0.5799	0.5893
0.5896	0.5943
0.5948	0.5986
0.6005	0.6079
0.6042	0.6043
0.6078	0.6164
0.6155	0.6207
0.6215	0.6129
0.6220	0.6136
0.6285	0.6086
0.6334	0.6214
0.6406	0.6221
0.6459	0.6414
0.6473	0.6371
0.6537	0.6357
0.6569	0.6357
0.6609	0.6393
0.6593	0.6314
0.6683	0.6300
0.6704	0.6414
0.6704	0.6600
0.6764	0.6436
0.6812	0.6364
0.6821	0.6443
0.6854	0.6486
0.6877	0.6407
0.6937	0.6550
0.6937	0.6393
0.6956	0.6436
0.7010	0.6579
0.7021	0.6450
0.7042	0.6571
0.7094	0.6493
0.7047	0.6429
0.7150	0.6414
0.7107	0.6486
0.7211	0.6386
0.7198	0.6379
0.7171	0.6471
0.7175	0.6486
0.7232	0.6564
0.7312	0.6493
0.7302	0.6514
0.7324	0.6471
0.7340	0.6529
0.7352	0.6479
0.7342	0.6671
0.7383	0.6536
0.7381	0.6471
0.7397	0.6493
0.7378	0.6400
0.7423	0.6464
0.7450	0.6571
0.7475	0.6500
0.7475	0.6350
0.7483	0.6443
0.7536	0.6507
0.7543	0.6521
0.7561	0.6564
0.7562	0.6571
0.7517	0.6443
0.7577	0.6564
0.7552	0.6571
0.7600	0.6607
0.7639	0.6514
0.7655	0.6550
0.7613	0.6493
0.7654	0.6550
0.7663	0.6607
0.7663	0.6593
0.7704	0.6550
0.7679	0.6564
0.7728	0.6457
0.7708	0.6564
0.7721	0.6536
0.7727	0.6564
0.7745	0.6529
0.7770	0.6564
0.7781	0.6457
0.7802	0.6507
0.7786	0.6493
0.7778	0.6593
0.7836	0.6586
0.7828	0.6550
0.7836	0.6579
0.7835	0.6593
0.7825	0.6643
0.7879	0.6607
0.7816	0.6579
0.7884	0.6571
0.7894	0.6507
0.7894	0.6536
0.7877	0.6507
0.7922	0.6600
0.7888	0.6479
0.7907	0.6621
0.7950	0.6664
0.7932	0.6729
0.7939	0.6586
0.7951	0.6514
0.7966	0.6664
0.7942	0.6557
0.7989	0.6564
0.7979	0.6693
0.7995	0.6500
0.7959	0.6650
0.8011	0.6614
0.7991	0.6629
0.7994	0.6643
0.8036	0.6679
0.8057	0.6664
0.8000	0.6557
0.8049	0.6529
0.8040	0.6543
0.8037	0.6614
0.8065	0.6636
0.8073	0.6671
0.8048	0.6586
0.8075	0.6650
0.8074	0.6550
0.8115	0.6693
0.8080	0.6664
0.8104	0.6607
0.8077	0.6657
0.8135	0.6557
0.8130	0.6571
0.8123	0.6586
0.8153	0.6600
0.8065	0.6650
0.8112	0.6586
0.8169	0.6650
0.8171	0.6629
0.8224	0.6643
0.8189	0.6586
0.8164	0.6621
0.8155	0.6636
0.8135	0.6714
